date,brand,sneaker,sale,retail,profit,profitpercent
01-18," Yeezy",350-V2-Blue-Tint,387,220,167,75.9090909090909
01-18," Yeezy",350-V2-Blue-Tint,351,220,131,59.54545454545455
01-18," Yeezy",350-V2-Blue-Tint,380,220,160,72.72727272727273
01-18," Yeezy",350-V2-Blue-Tint,390,220,170,77.27272727272727
01-18," Yeezy",350-V2-Blue-Tint,352,220,132,60
01-18," Yeezy",350-V2-Core-Black-Green,603,220,383,174.0909090909091
01-18," Yeezy",350-V2-Core-Black-Red,881,220,661,300.45454545454544
01-18," Yeezy",350-V2-Core-Black-Red-2017,900,220,680,309.09090909090907
01-18," Yeezy",350-V2-Core-Black-Red-2017,770,220,550,250
01-18," Yeezy",350-V2-Core-Black-Red-2017,795,220,575,261.3636363636364
01-18," Yeezy",350-V2-Core-Black-White,760,220,540,245.45454545454547
01-18," Yeezy",350-V2-Core-Black-White,719,220,499,226.8181818181818
01-18," Yeezy",350-V2-Cream-White,435,220,215,97.72727272727273
01-18," Yeezy",350-V2-Cream-White,426,220,206,93.63636363636364
01-18," Yeezy",350-V2-Cream-White,480,220,260,118.18181818181819
01-18," Yeezy",350-V2-Cream-White,440,220,220,100
01-18," Yeezy",350-V2-Semi-Frozen-Yellow,571,220,351,159.54545454545453
01-18," Yeezy",350-V2-Semi-Frozen-Yellow,700,220,480,218.18181818181816
01-18," Yeezy",350-V2-Semi-Frozen-Yellow,781,220,561,254.99999999999997
01-18," Yeezy",350-V2-Semi-Frozen-Yellow,775,220,555,252.27272727272728
01-18," Yeezy",350-V2-Semi-Frozen-Yellow,660,220,440,200
01-18," Yeezy",350-V2-Semi-Frozen-Yellow,616,220,396,180
01-18," Yeezy",350-V2-Zebra,508,220,288,130.9090909090909
01-18," Yeezy",350-V2-Zebra,620,220,400,181.8181818181818
01-18," Yeezy",350-V2-Zebra,580,220,360,163.63636363636365
01-18," Yeezy",350-V2-Zebra,512,220,292,132.72727272727275
01-18," Yeezy",350-V2-Zebra,536,220,316,143.63636363636363
01-18," Yeezy",350-V2-Zebra,540,220,320,145.45454545454547
01-18," Yeezy",350-V2-Zebra,582,220,362,164.54545454545456
01-19," Yeezy",350-Low-Moonrock,"1,140",200,-199,-99.5
01-19," Yeezy",350-Low-Pirate-Black-2015,820,200,620,310
01-19," Yeezy",350-Low-Pirate-Black-2015,950,200,750,375
01-19," Yeezy",350-Low-Pirate-Black-2016,"1,000",200,-199,-99.5
01-19," Yeezy",350-Low-V2-Beluga,710,220,490,222.72727272727272
01-19," Yeezy",350-V2-Beluga-2pt0,420,220,200,90.9090909090909
01-19," Yeezy",350-V2-Beluga-2pt0,435,220,215,97.72727272727273
01-19," Yeezy",350-V2-Beluga-2pt0,418,220,198,90
01-19," Yeezy",350-V2-Beluga-2pt0,373,220,153,69.54545454545455
01-19," Yeezy",350-V2-Beluga-2pt0,370,220,150,68.18181818181817
01-19," Yeezy",350-V2-Beluga-2pt0,385,220,165,75
01-19," Yeezy",350-V2-Beluga-2pt0,416,220,196,89.0909090909091
01-19," Yeezy",350-V2-Beluga-2pt0,335,220,115,52.27272727272727
01-19," Yeezy",350-V2-Beluga-2pt0,490,220,270,122.72727272727273
01-19," Yeezy",350-V2-Beluga-2pt0,400,220,180,81.81818181818183
01-19," Yeezy",350-V2-Beluga-2pt0,425,220,205,93.18181818181817
01-19," Yeezy",350-V2-Beluga-2pt0,445,220,225,102.27272727272727
01-19," Yeezy",350-V2-Beluga-2pt0,315,220,95,43.18181818181818
01-19," Yeezy",350-V2-Beluga-2pt0,367,220,147,66.81818181818183
01-19," Yeezy",350-V2-Beluga-2pt0,330,220,110,50
01-19," Yeezy",350-V2-Beluga-2pt0,365,220,145,65.9090909090909
01-19," Yeezy",350-V2-Beluga-2pt0,392,220,172,78.18181818181819
01-19," Yeezy",350-V2-Beluga-2pt0,395,220,175,79.54545454545455
01-19," Yeezy",350-V2-Beluga-2pt0,305,220,85,38.63636363636363
01-19," Yeezy",350-V2-Beluga-2pt0,350,220,130,59.09090909090909
01-19," Yeezy",350-V2-Beluga-2pt0,354,220,134,60.909090909090914
01-19," Yeezy",350-V2-Beluga-2pt0,406,220,186,84.54545454545455
01-19," Yeezy",350-V2-Beluga-2pt0,340,220,120,54.54545454545454
01-19," Yeezy",350-V2-Beluga-2pt0,380,220,160,72.72727272727273
01-19," Yeezy",350-V2-Blue-Tint,389,220,169,76.81818181818181
01-19," Yeezy",350-V2-Blue-Tint,394,220,174,79.0909090909091
01-19," Yeezy",350-V2-Blue-Tint,385,220,165,75
01-19," Yeezy",350-V2-Blue-Tint,365,220,145,65.9090909090909
01-19," Yeezy",350-V2-Blue-Tint,371,220,151,68.63636363636364
01-19," Yeezy",350-V2-Blue-Tint,370,220,150,68.18181818181817
01-19," Yeezy",350-V2-Blue-Tint,377,220,157,71.36363636363636
01-19," Yeezy",350-V2-Blue-Tint,350,220,130,59.09090909090909
01-19," Yeezy",350-V2-Blue-Tint,410,220,190,86.36363636363636
01-19," Yeezy",350-V2-Blue-Tint,331,220,111,50.45454545454545
01-19," Yeezy",350-V2-Blue-Tint,384,220,164,74.54545454545455
01-19," Yeezy",350-V2-Blue-Tint,364,220,144,65.45454545454545
01-19," Yeezy",350-V2-Blue-Tint,380,220,160,72.72727272727273
01-19," Yeezy",350-V2-Blue-Tint,395,220,175,79.54545454545455
01-19," Yeezy",350-V2-Blue-Tint,374,220,154,70
01-19," Yeezy",350-V2-Blue-Tint,354,220,134,60.909090909090914
01-19," Yeezy",350-V2-Blue-Tint,345,220,125,56.81818181818182
01-19," Yeezy",350-V2-Blue-Tint,343,220,123,55.90909090909091
01-19," Yeezy",350-V2-Blue-Tint,347,220,127,57.72727272727273
01-19," Yeezy",350-V2-Blue-Tint,351,220,131,59.54545454545455
01-19," Yeezy",350-V2-Blue-Tint,355,220,135,61.36363636363637
01-19," Yeezy",350-V2-Blue-Tint,373,220,153,69.54545454545455
01-19," Yeezy",350-V2-Blue-Tint,358,220,138,62.727272727272734
01-19," Yeezy",350-V2-Blue-Tint,341,220,121,55.00000000000001
01-19," Yeezy",350-V2-Blue-Tint,369,220,149,67.72727272727272
01-19," Yeezy",350-V2-Blue-Tint,366,220,146,66.36363636363637
01-19," Yeezy",350-V2-Blue-Tint,335,220,115,52.27272727272727
01-19," Yeezy",350-V2-Blue-Tint,342,220,122,55.45454545454545
01-19," Yeezy",350-V2-Blue-Tint,375,220,155,70.45454545454545
01-19," Yeezy",350-V2-Blue-Tint,338,220,118,53.63636363636364
01-19," Yeezy",350-V2-Blue-Tint,336,220,116,52.72727272727272
01-19," Yeezy",350-V2-Blue-Tint,344,220,124,56.36363636363636
01-19," Yeezy",350-V2-Blue-Tint,346,220,126,57.27272727272727
01-19," Yeezy",350-V2-Blue-Tint,359,220,139,63.18181818181819
01-19," Yeezy",350-V2-Blue-Tint,340,220,120,54.54545454545454
01-19," Yeezy",350-V2-Core-Black-Copper,688,220,468,212.72727272727275
01-19," Yeezy",350-V2-Core-Black-Green,601,220,381,173.1818181818182
01-19," Yeezy",350-V2-Core-Black-Red,968,220,748,340
01-19," Yeezy",350-V2-Core-Black-Red-2017,780,220,560,254.54545454545453
01-19," Yeezy",350-V2-Core-Black-Red-2017,880,220,660,300
01-19," Yeezy",350-V2-Core-Black-Red-2017,792,220,572,260
01-19," Yeezy",350-V2-Core-Black-White,797,220,577,262.27272727272725
01-19," Yeezy",350-V2-Core-Black-White,640,220,420,190.9090909090909
01-19," Yeezy",350-V2-Cream-White,415,220,195,88.63636363636364
01-19," Yeezy",350-V2-Cream-White,472,220,252,114.54545454545455
01-19," Yeezy",350-V2-Cream-White,545,220,325,147.72727272727272
01-19," Yeezy",350-V2-Cream-White,430,220,210,95.45454545454545
01-19," Yeezy",350-V2-Cream-White,488,220,268,121.81818181818183
01-19," Yeezy",350-V2-Semi-Frozen-Yellow,690,220,470,213.63636363636363
01-19," Yeezy",350-V2-Semi-Frozen-Yellow,621,220,401,182.27272727272728
01-19," Yeezy",350-V2-Semi-Frozen-Yellow,635,220,415,188.63636363636365
01-19," Yeezy",350-V2-Semi-Frozen-Yellow,625,220,405,184.0909090909091
01-19," Yeezy",350-V2-Semi-Frozen-Yellow,620,220,400,181.8181818181818
01-19," Yeezy",350-V2-Zebra,540,220,320,145.45454545454547
01-19," Yeezy",350-V2-Zebra,534,220,314,142.72727272727272
01-19," Yeezy",350-V2-Zebra,630,220,410,186.36363636363635
01-19," Yeezy",350-V2-Zebra,549,220,329,149.54545454545453
01-19," Yeezy",350-V2-Zebra,585,220,365,165.9090909090909
01-19," Yeezy",350-V2-Zebra,545,220,325,147.72727272727272
01-19," Yeezy",350-V2-Zebra,550,220,330,150
01-20," Yeezy",350-Low-Moonrock,"1,350",200,-199,-99.5
01-20," Yeezy",350-Low-Oxford-Tan,"1,200",200,-199,-99.5
01-20," Yeezy",350-Low-V2-Beluga,840,220,620,281.8181818181818
01-20," Yeezy",350-Low-V2-Beluga,708,220,488,221.8181818181818
01-20," Yeezy",350-V2-Beluga-2pt0,445,220,225,102.27272727272727
01-20," Yeezy",350-V2-Beluga-2pt0,360,220,140,63.63636363636363
01-20," Yeezy",350-V2-Beluga-2pt0,400,220,180,81.81818181818183
01-20," Yeezy",350-V2-Beluga-2pt0,418,220,198,90
01-20," Yeezy",350-V2-Beluga-2pt0,416,220,196,89.0909090909091
01-20," Yeezy",350-V2-Beluga-2pt0,396,220,176,80
01-20," Yeezy",350-V2-Beluga-2pt0,370,220,150,68.18181818181817
01-20," Yeezy",350-V2-Beluga-2pt0,325,220,105,47.72727272727273
01-20," Yeezy",350-V2-Beluga-2pt0,393,220,173,78.63636363636364
01-20," Yeezy",350-V2-Beluga-2pt0,355,220,135,61.36363636363637
01-20," Yeezy",350-V2-Beluga-2pt0,429,220,209,95
01-20," Yeezy",350-V2-Beluga-2pt0,425,220,205,93.18181818181817
01-20," Yeezy",350-V2-Beluga-2pt0,390,220,170,77.27272727272727
01-20," Yeezy",350-V2-Beluga-2pt0,386,220,166,75.45454545454545
01-20," Yeezy",350-V2-Beluga-2pt0,420,220,200,90.9090909090909
01-20," Yeezy",350-V2-Beluga-2pt0,428,220,208,94.54545454545455
01-20," Yeezy",350-V2-Beluga-2pt0,380,220,160,72.72727272727273
01-20," Yeezy",350-V2-Beluga-2pt0,392,220,172,78.18181818181819
01-20," Yeezy",350-V2-Beluga-2pt0,421,220,201,91.36363636363637
01-20," Yeezy",350-V2-Beluga-2pt0,403,220,183,83.18181818181817
01-20," Yeezy",350-V2-Blue-Tint,370,220,150,68.18181818181817
01-20," Yeezy",350-V2-Blue-Tint,369,220,149,67.72727272727272
01-20," Yeezy",350-V2-Blue-Tint,385,220,165,75
01-20," Yeezy",350-V2-Blue-Tint,338,220,118,53.63636363636364
01-20," Yeezy",350-V2-Blue-Tint,343,220,123,55.90909090909091
01-20," Yeezy",350-V2-Blue-Tint,360,220,140,63.63636363636363
01-20," Yeezy",350-V2-Blue-Tint,344,220,124,56.36363636363636
01-20," Yeezy",350-V2-Blue-Tint,375,220,155,70.45454545454545
01-20," Yeezy",350-V2-Blue-Tint,380,220,160,72.72727272727273
01-20," Yeezy",350-V2-Blue-Tint,379,220,159,72.27272727272728
01-20," Yeezy",350-V2-Blue-Tint,355,220,135,61.36363636363637
01-20," Yeezy",350-V2-Blue-Tint,359,220,139,63.18181818181819
01-20," Yeezy",350-V2-Blue-Tint,358,220,138,62.727272727272734
01-20," Yeezy",350-V2-Blue-Tint,400,220,180,81.81818181818183
01-20," Yeezy",350-V2-Blue-Tint,340,220,120,54.54545454545454
01-20," Yeezy",350-V2-Blue-Tint,384,220,164,74.54545454545455
01-20," Yeezy",350-V2-Blue-Tint,394,220,174,79.0909090909091
01-20," Yeezy",350-V2-Blue-Tint,342,220,122,55.45454545454545
01-20," Yeezy",350-V2-Blue-Tint,378,220,158,71.81818181818181
01-20," Yeezy",350-V2-Blue-Tint,371,220,151,68.63636363636364
01-20," Yeezy",350-V2-Blue-Tint,330,220,110,50
01-20," Yeezy",350-V2-Blue-Tint,376,220,156,70.9090909090909
01-20," Yeezy",350-V2-Blue-Tint,377,220,157,71.36363636363636
01-20," Yeezy",350-V2-Blue-Tint,354,220,134,60.909090909090914
01-20," Yeezy",350-V2-Blue-Tint,350,220,130,59.09090909090909
01-20," Yeezy",350-V2-Blue-Tint,365,220,145,65.9090909090909
01-20," Yeezy",350-V2-Blue-Tint,373,220,153,69.54545454545455
01-20," Yeezy",350-V2-Blue-Tint,392,220,172,78.18181818181819
01-20," Yeezy",350-V2-Core-Black-Red-2017,885,220,665,302.2727272727273
01-20," Yeezy",350-V2-Core-Black-Red-2017,750,220,530,240.9090909090909
01-20," Yeezy",350-V2-Core-Black-White,769,220,549,249.54545454545456
01-20," Yeezy",350-V2-Cream-White,436,220,216,98.18181818181819
01-20," Yeezy",350-V2-Cream-White,425,220,205,93.18181818181817
01-20," Yeezy",350-V2-Cream-White,619,220,399,181.36363636363637
01-20," Yeezy",350-V2-Semi-Frozen-Yellow,630,220,410,186.36363636363635
01-20," Yeezy",350-V2-Semi-Frozen-Yellow,610,220,390,177.27272727272728
01-20," Yeezy",350-V2-Semi-Frozen-Yellow,600,220,380,172.72727272727272
01-20," Yeezy",350-V2-Semi-Frozen-Yellow,713,220,493,224.09090909090907
01-20," Yeezy",350-V2-Semi-Frozen-Yellow,615,220,395,179.54545454545453
01-20," Yeezy",350-V2-Zebra,580,220,360,163.63636363636365
01-20," Yeezy",350-V2-Zebra,594,220,374,170
01-20," Yeezy",350-V2-Zebra,565,220,345,156.8181818181818
01-21," Yeezy",350-Low-Pirate-Black-2015,875,200,675,337.5
01-21," Yeezy",350-V2-Beluga-2pt0,415,220,195,88.63636363636364
01-21," Yeezy",350-V2-Beluga-2pt0,364,220,144,65.45454545454545
01-21," Yeezy",350-V2-Beluga-2pt0,386,220,166,75.45454545454545
01-21," Yeezy",350-V2-Beluga-2pt0,390,220,170,77.27272727272727
01-21," Yeezy",350-V2-Beluga-2pt0,420,220,200,90.9090909090909
01-21," Yeezy",350-V2-Beluga-2pt0,395,220,175,79.54545454545455
01-21," Yeezy",350-V2-Beluga-2pt0,360,220,140,63.63636363636363
01-21," Yeezy",350-V2-Beluga-2pt0,371,220,151,68.63636363636364
01-21," Yeezy",350-V2-Beluga-2pt0,366,220,146,66.36363636363637
01-21," Yeezy",350-V2-Beluga-2pt0,350,220,130,59.09090909090909
01-21," Yeezy",350-V2-Beluga-2pt0,310,220,90,40.909090909090914
01-21," Yeezy",350-V2-Beluga-2pt0,380,220,160,72.72727272727273
01-21," Yeezy",350-V2-Beluga-2pt0,370,220,150,68.18181818181817
01-21," Yeezy",350-V2-Beluga-2pt0,400,220,180,81.81818181818183
01-21," Yeezy",350-V2-Beluga-2pt0,382,220,162,73.63636363636363
01-21," Yeezy",350-V2-Beluga-2pt0,385,220,165,75
01-21," Yeezy",350-V2-Beluga-2pt0,393,220,173,78.63636363636364
01-21," Yeezy",350-V2-Blue-Tint,388,220,168,76.36363636363637
01-21," Yeezy",350-V2-Blue-Tint,355,220,135,61.36363636363637
01-21," Yeezy",350-V2-Blue-Tint,340,220,120,54.54545454545454
01-21," Yeezy",350-V2-Blue-Tint,365,220,145,65.9090909090909
01-21," Yeezy",350-V2-Blue-Tint,364,220,144,65.45454545454545
01-21," Yeezy",350-V2-Blue-Tint,405,220,185,84.0909090909091
01-21," Yeezy",350-V2-Blue-Tint,385,220,165,75
01-21," Yeezy",350-V2-Blue-Tint,360,220,140,63.63636363636363
01-21," Yeezy",350-V2-Blue-Tint,363,220,143,65
01-21," Yeezy",350-V2-Blue-Tint,390,220,170,77.27272727272727
01-21," Yeezy",350-V2-Blue-Tint,400,220,180,81.81818181818183
01-21," Yeezy",350-V2-Blue-Tint,350,220,130,59.09090909090909
01-21," Yeezy",350-V2-Blue-Tint,353,220,133,60.45454545454545
01-21," Yeezy",350-V2-Blue-Tint,370,220,150,68.18181818181817
01-21," Yeezy",350-V2-Blue-Tint,375,220,155,70.45454545454545
01-21," Yeezy",350-V2-Blue-Tint,359,220,139,63.18181818181819
01-21," Yeezy",350-V2-Blue-Tint,345,220,125,56.81818181818182
01-21," Yeezy",350-V2-Blue-Tint,335,220,115,52.27272727272727
01-21," Yeezy",350-V2-Blue-Tint,380,220,160,72.72727272727273
01-21," Yeezy",350-V2-Blue-Tint,379,220,159,72.27272727272728
01-21," Yeezy",350-V2-Blue-Tint,356,220,136,61.81818181818181
01-21," Yeezy",350-V2-Blue-Tint,384,220,164,74.54545454545455
01-21," Yeezy",350-V2-Blue-Tint,374,220,154,70
01-21," Yeezy",350-V2-Blue-Tint,395,220,175,79.54545454545455
01-21," Yeezy",350-V2-Core-Black-Green,570,220,350,159.0909090909091
01-21," Yeezy",350-V2-Core-Black-Red,999,220,779,354.0909090909091
01-21," Yeezy",350-V2-Core-Black-Red-2017,815,220,595,270.45454545454544
01-21," Yeezy",350-V2-Core-Black-White,720,220,500,227.27272727272728
01-21," Yeezy",350-V2-Cream-White,410,220,190,86.36363636363636
01-21," Yeezy",350-V2-Cream-White,450,220,230,104.54545454545455
01-21," Yeezy",350-V2-Cream-White,425,220,205,93.18181818181817
01-21," Yeezy",350-V2-Cream-White,446,220,226,102.72727272727273
01-21," Yeezy",350-V2-Semi-Frozen-Yellow,731,220,511,232.27272727272728
01-21," Yeezy",350-V2-Semi-Frozen-Yellow,580,220,360,163.63636363636365
01-21," Yeezy",350-V2-Zebra,475,220,255,115.90909090909092
01-21," Yeezy",350-V2-Zebra,560,220,340,154.54545454545453
01-21," Yeezy",350-V2-Zebra,578,220,358,162.72727272727272
01-21," Yeezy",350-V2-Zebra,571,220,351,159.54545454545453
01-22," Yeezy",350-Low-Moonrock,"1,140",200,-199,-99.5
01-22," Yeezy",350-Low-Oxford-Tan,"1,090",200,-199,-99.5
01-22," Yeezy",350-Low-Pirate-Black-2015,900,200,700,350
01-22," Yeezy",350-Low-V2-Beluga,870,220,650,295.45454545454544
01-22," Yeezy",350-Low-V2-Beluga,911,220,691,314.0909090909091
01-22," Yeezy",350-V2-Beluga-2pt0,387,220,167,75.9090909090909
01-22," Yeezy",350-V2-Beluga-2pt0,340,220,120,54.54545454545454
01-22," Yeezy",350-V2-Beluga-2pt0,425,220,205,93.18181818181817
01-22," Yeezy",350-V2-Beluga-2pt0,420,220,200,90.9090909090909
01-22," Yeezy",350-V2-Beluga-2pt0,404,220,184,83.63636363636363
01-22," Yeezy",350-V2-Beluga-2pt0,380,220,160,72.72727272727273
01-22," Yeezy",350-V2-Beluga-2pt0,385,220,165,75
01-22," Yeezy",350-V2-Beluga-2pt0,428,220,208,94.54545454545455
01-22," Yeezy",350-V2-Beluga-2pt0,378,220,158,71.81818181818181
01-22," Yeezy",350-V2-Beluga-2pt0,386,220,166,75.45454545454545
01-22," Yeezy",350-V2-Beluga-2pt0,440,220,220,100
01-22," Yeezy",350-V2-Beluga-2pt0,393,220,173,78.63636363636364
01-22," Yeezy",350-V2-Beluga-2pt0,350,220,130,59.09090909090909
01-22," Yeezy",350-V2-Beluga-2pt0,384,220,164,74.54545454545455
01-22," Yeezy",350-V2-Beluga-2pt0,383,220,163,74.0909090909091
01-22," Yeezy",350-V2-Beluga-2pt0,435,220,215,97.72727272727273
01-22," Yeezy",350-V2-Beluga-2pt0,363,220,143,65
01-22," Yeezy",350-V2-Beluga-2pt0,345,220,125,56.81818181818182
01-22," Yeezy",350-V2-Beluga-2pt0,334,220,114,51.81818181818182
01-22," Yeezy",350-V2-Blue-Tint,385,220,165,75
01-22," Yeezy",350-V2-Blue-Tint,350,220,130,59.09090909090909
01-22," Yeezy",350-V2-Blue-Tint,344,220,124,56.36363636363636
01-22," Yeezy",350-V2-Blue-Tint,369,220,149,67.72727272727272
01-22," Yeezy",350-V2-Blue-Tint,384,220,164,74.54545454545455
01-22," Yeezy",350-V2-Blue-Tint,345,220,125,56.81818181818182
01-22," Yeezy",350-V2-Blue-Tint,380,220,160,72.72727272727273
01-22," Yeezy",350-V2-Blue-Tint,386,220,166,75.45454545454545
01-22," Yeezy",350-V2-Blue-Tint,340,220,120,54.54545454545454
01-22," Yeezy",350-V2-Blue-Tint,419,220,199,90.45454545454545
01-22," Yeezy",350-V2-Blue-Tint,328,220,108,49.09090909090909
01-22," Yeezy",350-V2-Blue-Tint,358,220,138,62.727272727272734
01-22," Yeezy",350-V2-Blue-Tint,320,220,100,45.45454545454545
01-22," Yeezy",350-V2-Blue-Tint,360,220,140,63.63636363636363
01-22," Yeezy",350-V2-Blue-Tint,376,220,156,70.9090909090909
01-22," Yeezy",350-V2-Blue-Tint,375,220,155,70.45454545454545
01-22," Yeezy",350-V2-Blue-Tint,343,220,123,55.90909090909091
01-22," Yeezy",350-V2-Blue-Tint,389,220,169,76.81818181818181
01-22," Yeezy",350-V2-Blue-Tint,390,220,170,77.27272727272727
01-22," Yeezy",350-V2-Blue-Tint,341,220,121,55.00000000000001
01-22," Yeezy",350-V2-Blue-Tint,335,220,115,52.27272727272727
01-22," Yeezy",350-V2-Blue-Tint,365,220,145,65.9090909090909
01-22," Yeezy",350-V2-Blue-Tint,406,220,186,84.54545454545455
01-22," Yeezy",350-V2-Blue-Tint,355,220,135,61.36363636363637
01-22," Yeezy",350-V2-Blue-Tint,382,220,162,73.63636363636363
01-22," Yeezy",350-V2-Blue-Tint,330,220,110,50
01-22," Yeezy",350-V2-Blue-Tint,388,220,168,76.36363636363637
01-22," Yeezy",350-V2-Core-Black-Copper,670,220,450,204.54545454545453
01-22," Yeezy",350-V2-Core-Black-Red-2017,856,220,636,289.0909090909091
01-22," Yeezy",350-V2-Core-Black-Red-2017,899,220,679,308.6363636363636
01-22," Yeezy",350-V2-Core-Black-White,710,220,490,222.72727272727272
01-22," Yeezy",350-V2-Cream-White,440,220,220,100
01-22," Yeezy",350-V2-Cream-White,450,220,230,104.54545454545455
01-22," Yeezy",350-V2-Semi-Frozen-Yellow,620,220,400,181.8181818181818
01-22," Yeezy",350-V2-Semi-Frozen-Yellow,600,220,380,172.72727272727272
01-22," Yeezy",350-V2-Semi-Frozen-Yellow,660,220,440,200
01-22," Yeezy",350-V2-Semi-Frozen-Yellow,630,220,410,186.36363636363635
01-22," Yeezy",350-V2-Zebra,518,220,298,135.45454545454544
01-22," Yeezy",350-V2-Zebra,495,220,275,125
01-22," Yeezy",350-V2-Zebra,640,220,420,190.9090909090909
01-22," Yeezy",350-V2-Zebra,579,220,359,163.1818181818182
